date,name,name_updated,address,lat,lon,rating,user_ratings_total,season,parks_count_1km,open_bars_count_500m,lst_celsius_1km,temp_max,temp_min,precip_mm,ndvi,nightlight
2024-07-27,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Summer,11,12,20.7,23.4,18.0,12.4,0.2008545696735382,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Summer,7,6,20.65,23.2,18.1,10.8,0.1627392619848251,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Summer,9,20,20.65,23.2,18.1,10.8,0.0976989716291427,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Summer,5,9,20.7,23.4,18.0,12.4,0.0451669096946716,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Summer,7,10,20.7,23.4,18.0,12.4,0.1282007396221161,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Kurfürstendamm,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,Summer,7,14,20.7,23.4,18.0,12.4,0.1036304235458374,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Karl-Marx-Straße,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,Summer,7,10,20.7,23.4,18.0,12.4,0.0091729974374175,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Oderberger Str.,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,Summer,2,16,20.65,23.2,18.1,10.8,0.1960355192422866,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Graefestraße,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,Summer,3,8,20.7,23.4,18.0,12.4,0.2048106491565704,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Raumerstraße,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,Summer,7,14,20.65,23.2,18.1,10.8,0.1642469465732574,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,Summer,5,8,20.65,23.2,18.1,10.8,0.3226491510868072,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Krossener Str.,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,Summer,7,22,20.65,23.2,18.1,10.8,0.1119554638862609,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Rykestraße,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,Summer,7,10,20.65,23.2,18.1,10.8,0.1089829429984092,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Falckensteinstraße,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.1,40,Summer,4,8,20.65,23.2,18.1,10.8,0.2449666112661361,0.0
2024-07-27,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Summer,13,14,20.7,23.4,18.0,12.4,0.1477340459823608,0.0
2024-07-27,LAP coffee,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,Summer,1,8,20.65,23.2,18.1,10.8,0.1622164696455001,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Akazienstraße,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,151,Summer,11,12,19.15,22.1,16.2,11.4,0.2008545696735382,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Kastanienallee,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,Summer,7,6,18.9,21.9,15.9,12.8,0.1627392619848251,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Rosenthaler Str.,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,Summer,9,20,18.9,21.9,15.9,12.8,0.0976989716291427,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Uhlandstraße,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,156,Summer,5,9,19.15,22.1,16.2,11.4,0.0451669096946716,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Kantstraße,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,126,Summer,7,10,19.15,22.1,16.2,11.4,0.1282007396221161,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Kurfürstendamm,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,Summer,7,14,19.15,22.1,16.2,11.4,0.1036304235458374,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Karl-Marx-Straße,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,Summer,7,10,19.15,22.1,16.2,11.4,0.0091729974374175,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Oderberger Str.,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,Summer,2,16,18.9,21.9,15.9,12.8,0.1960355192422866,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Graefestraße,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,Summer,3,8,19.15,22.1,16.2,11.4,0.2048106491565704,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Raumerstraße,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,Summer,7,14,18.9,21.9,15.9,12.8,0.1642469465732574,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Schönhauser Allee,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,Summer,5,8,18.9,21.9,15.9,12.8,0.3226491510868072,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Krossener Str.,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,Summer,7,22,18.9,21.9,15.9,12.8,0.1119554638862609,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Rykestraße,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,Summer,7,10,18.9,21.9,15.9,12.8,0.1089829429984092,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Falckensteinstraße,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.1,40,Summer,4,8,18.9,21.9,15.9,12.8,0.2449666112661361,0.0
2024-07-28,LAP COFFEE,LAP COFFEE_Adalbertstraße,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,Summer,13,14,19.15,22.1,16.2,11.4,0.1477340459823608,0.0
